Bootstrap,Weekday_Cost,Saturday_Cost,Weekly_Cost,Total_Route_Demand,Weekday_Owned,Weekday_Leased,Saturday_Owned,Saturday_Leased,Weekday_Skipped,Saturday_Skipped
1,50686.009999999995,23028.46,276458.51,670,37,0,24,0,11,0
2,50504.27,23313.180000000008,275834.52999999997,668,36,0,25,0,11,0
3,50062.34999999999,23494.039999999997,273805.7899999999,672,35,0,24,0,11,0
4,49649.329999999994,22946.819999999996,271193.47,657,37,0,24,0,11,0
5,50098.009999999995,22681.030000000006,273171.08,662,37,0,23,0,11,0
6,49850.78999999999,23929.080000000005,273183.02999999997,666,36,0,25,0,11,0
7,49225.05999999999,22981.000000000004,269106.3,656,36,0,25,0,11,0
8,49501.56,22604.019999999997,270111.82,661,36,0,24,0,11,0
9,49725.74999999999,22572.34,271201.08999999997,662,36,0,23,0,11,0
10,50115.939999999995,23279.450000000004,273859.14999999997,675,34,0,25,0,11,0
11,49422.84,23383.800000000007,270498.0,663,35,0,26,0,11,0
12,50792.49,23855.58,277818.02999999997,662,33,0,25,0,11,0
13,50188.70999999999,22858.84,273802.38999999996,662,34,0,24,0,11,0
14,50280.17,23335.0,274735.85,656,34,0,24,0,11,0
15,49876.829999999994,23285.329999999998,272669.48,661,34,0,25,0,11,0
16,49992.67999999999,23198.199999999997,273161.6,665,35,0,24,0,11,0
17,50105.20999999999,23340.190000000006,273866.24,662,36,0,24,0,11,0
18,50184.02,23218.99,274139.08999999997,665,37,0,23,0,11,0
19,47914.37999999999,23202.84,262774.74,650,34,0,26,0,11,0
20,50299.469999999994,22541.499999999996,274038.85,662,37,0,23,0,11,0
21,49958.92999999999,23719.18,273513.82999999996,671,34,0,25,0,11,0
22,49993.439999999995,23121.7,273088.89999999997,672,36,0,23,0,11,0
23,49673.55999999999,22573.300000000003,270941.1,663,37,0,23,0,11,0
24,50475.02999999999,23432.639999999996,275807.79,666,35,0,24,0,11,0
25,49145.95,22907.97,268637.72,658,38,0,24,0,11,0
26,50015.659999999996,23489.51,273567.81,667,37,0,24,0,11,0
27,49596.969999999994,23774.78,271759.63,671,37,0,25,0,11,0
28,48891.28999999999,23024.58,267481.02999999997,653,36,0,24,0,11,0
29,50748.48999999999,23425.32,277167.76999999996,664,35,0,25,0,11,0
30,48409.899999999994,23071.74,265121.24,647,35,0,24,0,11,0
31,50458.38,23151.170000000002,275443.07,666,35,0,25,0,11,0
32,50333.7,22964.18,274632.68,664,37,0,24,0,11,0
33,50555.34,22694.270000000004,275470.97,651,34,0,24,0,11,0
34,50563.49,22798.810000000005,275616.26,650,35,0,25,0,11,0
35,49980.40999999999,23298.649999999994,273200.69999999995,662,36,0,24,0,11,0
36,49775.31,23666.610000000004,272543.16,670,35,0,26,0,11,0
37,50342.42999999999,23477.950000000004,275190.1,672,36,0,24,0,11,0
38,50156.03999999999,23074.76,273854.95999999996,668,36,0,23,0,11,0
39,50155.96,22730.09,273509.89,659,36,0,24,0,11,0
40,49841.52,22391.270000000004,271598.87,659,36,0,24,0,11,0
41,50482.909999999996,23365.14,275779.69,659,35,0,25,0,11,0
42,50273.329999999994,23462.57,274829.22,666,35,0,25,0,11,0
43,49860.45999999999,23360.250000000004,272662.55,663,36,0,25,0,11,0
44,50341.479999999996,23391.54,275098.93999999994,668,36,0,26,0,11,0
45,50201.44999999999,23468.200000000004,274475.44999999995,656,37,0,26,0,11,0
46,49546.71,23238.699999999997,270972.25,665,37,0,24,0,11,0
47,50248.719999999994,23434.570000000007,274678.17,662,34,0,25,0,11,0
48,48606.37999999999,23034.260000000002,266066.16,652,36,0,24,0,11,0
49,51471.899999999994,23470.06,280829.56,675,35,0,26,0,11,0
50,49234.469999999994,23128.989999999994,269301.33999999997,648,34,0,24,0,11,0
51,49752.55999999999,23663.67,272426.47,663,35,0,25,0,11,0
52,50055.49999999999,23471.550000000007,273749.05,675,35,0,25,0,11,0
53,49920.47,22881.469999999998,272483.82,662,36,0,23,0,11,0
54,50033.17,23614.589999999997,273780.43999999994,675,37,0,25,0,11,0
55,50363.67,23326.269999999997,275144.62,666,35,0,25,0,11,0
56,50043.049999999996,23473.38,273688.62999999995,671,36,0,24,0,11,0
57,49719.329999999994,22610.399999999998,271207.05,653,35,0,22,0,11,0
58,50447.009999999995,23221.190000000002,275456.24,659,36,0,25,0,11,0
59,50976.6,23553.050000000003,278436.05,673,34,0,26,0,11,0
60,50436.97999999999,23644.16,275829.05999999994,670,35,0,24,0,11,0
61,50108.10999999999,23013.23,273553.77999999997,665,37,0,24,0,11,0
62,50787.99999999999,23292.59,277232.58999999997,667,36,0,24,0,11,0
63,50313.049999999996,23201.170000000006,274766.42,663,36,0,25,0,11,0
64,48364.74,22842.789999999997,264666.49,653,34,0,24,0,11,0
65,50116.17,22930.160000000003,273511.01,669,35,0,23,0,11,0
66,50191.78,23314.940000000002,274273.83999999997,665,35,0,24,0,11,0
67,47985.899999999994,22688.04,262617.54,633,34,0,26,0,11,0
68,50246.469999999994,23289.01,274521.36,669,35,0,25,0,11,0
69,50128.77999999999,23109.35,273753.24999999994,664,36,0,23,0,11,0
70,51745.97,22828.719999999998,281558.57,674,36,0,23,0,11,0
71,49767.23999999999,23404.120000000003,272240.31999999995,675,36,0,24,0,11,0
72,49938.009999999995,23696.9,273386.95,664,35,0,26,0,11,0
73,49791.009999999995,23088.07,272043.12,672,34,0,24,0,11,0
74,49174.45999999999,23228.030000000002,269100.32999999996,655,36,0,25,0,11,0
75,50119.2,22677.119999999995,273273.12,664,37,0,23,0,11,0
76,51753.009999999995,22985.52,281750.57,670,34,0,24,0,11,0
77,50274.0,23029.270000000004,274399.27,668,36,0,25,0,11,0
78,50413.49,24341.379999999997,276408.82999999996,674,34,0,23,0,11,0
79,50245.31999999999,23280.02,274506.62,663,35,0,24,0,11,0
80,49742.21,23572.05,272283.1,665,34,0,24,0,11,0
81,50047.03999999999,22845.630000000005,273080.82999999996,666,36,0,23,0,11,0
82,49559.59999999999,23281.620000000003,271079.61999999994,656,36,0,24,0,11,0
83,49547.85,23279.379999999997,271018.63,666,36,0,24,0,11,0
84,50828.67999999999,23395.58,277538.98,672,35,0,25,0,11,0
85,50142.719999999994,22494.5,273208.1,651,36,0,24,0,11,0
86,50344.40999999999,23824.980000000007,275547.0299999999,674,35,0,25,0,11,0
87,49866.409999999996,23411.22000000001,272743.27,665,36,0,25,0,11,0
88,49858.49,23373.790000000005,272666.24,664,36,0,24,0,11,0
89,50904.7,23410.7,277934.2,666,35,0,25,0,11,0
90,50128.33999999999,23135.73,273777.42999999993,662,37,0,25,0,11,0
91,49249.439999999995,22597.98,268845.18,652,36,0,24,0,11,0
92,50086.7,23588.549999999996,274022.05,664,37,0,25,0,11,0
93,50759.86,23279.29,277078.58999999997,660,35,0,24,0,11,0
94,50943.74,22513.950000000004,277232.64999999997,652,35,0,23,0,11,0
95,50387.7,23703.4,275641.9,667,34,0,24,0,11,0
96,50539.399999999994,22626.830000000005,275323.82999999996,655,35,0,24,0,11,0
97,50204.59,23375.740000000005,274398.69,676,37,0,25,0,11,0
98,50312.99,22688.440000000002,274253.39,662,37,0,25,0,11,0
99,50018.56,23258.780000000006,273351.58,668,35,0,26,0,11,0
100,49749.119999999995,23399.71,272145.31,668,34,0,26,0,11,0
101,50694.20999999999,23326.580000000005,276797.62999999995,665,36,0,25,0,11,0
102,50365.13999999999,23051.11,274876.80999999994,657,34,0,24,0,11,0
103,50642.909999999996,23203.25,276417.8,664,34,0,24,0,11,0
104,48383.73999999999,22848.330000000005,264767.02999999997,645,36,0,24,0,11,0
105,50017.81999999999,23321.22,273410.31999999995,669,35,0,25,0,11,0
106,50010.219999999994,23477.070000000003,273528.17,673,36,0,25,0,11,0
107,50745.69,22691.72,276420.17000000004,661,36,0,23,0,11,0
