Day,Route,Demand,Duration_hours,Owned_Cost_NZD,Leased_Cost_NZD,Vehicle_Type,Trip_Cost_NZD
Weekdays,Warehouse -> New World Birkenhead -> Four Square Lancaster -> Warehouse,15.0,5.879208333333334,1500.0,4200.0,Owned,1500.0
Weekdays,Warehouse -> Four Square Remuera -> New World Eastridge -> Warehouse,15.0,5.701519444444445,1500.0,4200.0,Owned,1500.0
Weekdays,Warehouse -> New World Green Bay -> Warehouse,11.0,3.779316666666667,831.45,2800.0,Owned,831.45
Weekdays,Warehouse -> New World Hobsonville -> Four Square Hobsonville -> Warehouse,15.0,5.547783333333333,1500.0,4200.0,Owned,1500.0
Weekdays,Warehouse -> New World Howick -> Four Square Pakuranga Heights -> Warehouse,15.0,5.978455555555556,1500.0,4200.0,Owned,1500.0
Weekdays,Warehouse -> New World Metro Shore City -> Warehouse,5.0,2.648675,582.71,2800.0,Owned,582.71
Weekdays,Warehouse -> Four Square Britomart -> New World Metro Queen St -> Warehouse,10.0,3.8305277777777778,842.72,2800.0,Owned,842.72
Weekdays,Warehouse -> New World Mt Albert -> Warehouse,10.0,3.403827777777778,748.84,2800.0,Owned,748.84
Weekdays,Warehouse -> New World Mt Roskill -> Warehouse,10.0,3.1090722222222222,684.0,2800.0,Owned,684.0
Weekdays,Warehouse -> New World New Lynn -> Warehouse,10.0,3.461580555555556,761.55,2800.0,Owned,761.55
Weekdays,Warehouse -> New World Newmarket -> Warehouse,10.0,3.759675,827.13,2800.0,Owned,827.13
Weekdays,Warehouse -> New World Papatoetoe -> Warehouse,10.0,3.846077777777778,846.14,2800.0,Owned,846.14
Weekdays,Warehouse -> Four Square Eden Terrace -> New World Point Chevalier -> Warehouse,14.0,4.9676222222222215,1190.0,4200.0,Owned,1190.0
Weekdays,Warehouse -> New World Remuera -> Warehouse,10.0,3.897319444444444,857.41,2800.0,Owned,857.41
Weekdays,Warehouse -> New World Stonefields -> Four Square St Heliers -> Warehouse,15.0,5.890266666666666,1500.0,4200.0,Owned,1500.0
