Supermarket,Period,Demand
Four Square Botany Junction,Saturday,2
Four Square Botany Junction,Weekdays,6
Four Square Britomart,Saturday,2
Four Square Britomart,Weekdays,5
Four Square Cockle Bay,Saturday,0
Four Square Cockle Bay,Weekdays,5
Four Square Eden Terrace,Saturday,2
Four Square Eden Terrace,Weekdays,5
Four Square Ellerslie,Saturday,2
Four Square Ellerslie,Weekdays,5
Four Square Fair Price Henderson,Saturday,2
Four Square Fair Price Henderson,Weekdays,5
Four Square Glen Eden,Saturday,2
Four Square Glen Eden,Weekdays,5
Four Square Hobsonville,Saturday,2
Four Square Hobsonville,Weekdays,5
Four Square Lancaster,Saturday,2
Four Square Lancaster,Weekdays,5
Four Square Onehunga,Saturday,2
Four Square Onehunga,Weekdays,5
Four Square Pakuranga Heights,Saturday,2
Four Square Pakuranga Heights,Weekdays,5
Four Square Remuera,Saturday,2
Four Square Remuera,Weekdays,5
Four Square St Heliers,Saturday,2
Four Square St Heliers,Weekdays,5
Four Square Torbay,Saturday,2
Four Square Torbay,Weekdays,6
New World Albany,Saturday,4
New World Albany,Weekdays,11
New World Birkenhead,Saturday,4
New World Birkenhead,Weekdays,10
New World Botany,Saturday,4
New World Botany,Weekdays,11
New World Browns Bay,Saturday,4
New World Browns Bay,Weekdays,10
New World Devonport,Saturday,4
New World Devonport,Weekdays,10
New World Eastridge,Saturday,4
New World Eastridge,Weekdays,10
New World Green Bay,Saturday,4
New World Green Bay,Weekdays,11
New World Hobsonville,Saturday,4
New World Hobsonville,Weekdays,10
New World Howick,Saturday,4
New World Howick,Weekdays,10
New World Long Bay,Saturday,5
New World Long Bay,Weekdays,10
New World Metro Queen St,Saturday,2
New World Metro Queen St,Weekdays,5
New World Metro Shore City,Saturday,2
New World Metro Shore City,Weekdays,5
New World Milford,Saturday,5
New World Milford,Weekdays,11
New World Mt Albert,Saturday,5
New World Mt Albert,Weekdays,10
New World Mt Roskill,Saturday,3
New World Mt Roskill,Weekdays,10
New World New Lynn,Saturday,4
New World New Lynn,Weekdays,10
New World Newmarket,Saturday,3
New World Newmarket,Weekdays,10
New World Ormiston,Saturday,4
New World Ormiston,Weekdays,10
New World Papakura,Saturday,4
New World Papakura,Weekdays,10
New World Papatoetoe,Saturday,5
New World Papatoetoe,Weekdays,10
New World Point Chevalier,Saturday,5
New World Point Chevalier,Weekdays,9
New World Remuera,Saturday,4
New World Remuera,Weekdays,10
New World Southmall,Saturday,4
New World Southmall,Weekdays,10
New World Stonefields,Saturday,4
New World Stonefields,Weekdays,10
New World Victoria Park,Saturday,4
New World Victoria Park,Weekdays,11
Pak 'n Save Albany,Saturday,8
Pak 'n Save Albany,Weekdays,15
Pak 'n Save Botany,Saturday,9
Pak 'n Save Botany,Weekdays,14
Pak 'n Save Clendon,Saturday,7
Pak 'n Save Clendon,Weekdays,14
Pak 'n Save Glen Innes,Saturday,8
Pak 'n Save Glen Innes,Weekdays,16
Pak 'n Save Henderson,Saturday,9
Pak 'n Save Henderson,Weekdays,14
Pak 'n Save Highland Park,Saturday,7
Pak 'n Save Highland Park,Weekdays,14
Pak 'n Save Lincoln Road,Saturday,8
Pak 'n Save Lincoln Road,Weekdays,15
Pak 'n Save Mangere,Saturday,8
Pak 'n Save Mangere,Weekdays,14
Pak 'n Save Manukau,Saturday,7
Pak 'n Save Manukau,Weekdays,14
Pak 'n Save Mt Albert,Saturday,8
Pak 'n Save Mt Albert,Weekdays,14
Pak 'n Save Ormiston,Saturday,8
Pak 'n Save Ormiston,Weekdays,15
Pak 'n Save Papakura,Saturday,8
Pak 'n Save Papakura,Weekdays,14
Pak 'n Save Royal Oak,Saturday,8
Pak 'n Save Royal Oak,Weekdays,15
Pak 'n Save Sylvia Park,Saturday,8
Pak 'n Save Sylvia Park,Weekdays,13
Pak 'n Save Wairau Road,Saturday,6
Pak 'n Save Wairau Road,Weekdays,14
Pak 'n Save Westgate,Saturday,7
Pak 'n Save Westgate,Weekdays,14
Warehouse,Saturday,0
Warehouse,Weekdays,0
