Global_Route_ID,Day,Route_ID,Route,Demand,Duration_seconds,Duration_hours,Overtime,Owned_Cost_NZD,Leased_Cost_NZD
132,Saturday,1,Warehouse -> New World Albany -> Warehouse,4.0,9676.37,2.6878805555555556,False,591.33,2800.0
133,Saturday,2,Warehouse -> New World Albany -> New World Browns Bay -> Warehouse,8.0,14654.75,4.070763888888889,True,1190.0,4200.0
134,Saturday,3,Warehouse -> New World Long Bay -> New World Browns Bay -> New World Albany -> Warehouse,13.0,20877.17,5.799213888888889,True,1500.0,4200.0
135,Saturday,4,Warehouse -> New World Long Bay -> Four Square Torbay -> New World Browns Bay -> New World Albany -> Warehouse,15.0,23071.39,6.408719444444444,True,1810.0,5600.0
136,Saturday,5,Warehouse -> New World Albany -> New World Browns Bay -> New World Milford -> Warehouse,13.0,20478.39,5.688441666666667,True,1500.0,4200.0
137,Saturday,6,Warehouse -> Four Square Lancaster -> New World Albany -> New World Browns Bay -> New World Milford -> Warehouse,15.0,23699.67,6.583241666666666,True,1810.0,5600.0
138,Saturday,7,Warehouse -> Four Square Torbay -> New World Browns Bay -> New World Albany -> New World Milford -> Warehouse,15.0,23330.18,6.480605555555556,True,1810.0,5600.0
139,Saturday,8,Warehouse -> Pak 'n Save Albany -> New World Albany -> New World Browns Bay -> Warehouse,16.0,23383.8,6.4955,True,1810.0,5600.0
140,Saturday,9,Warehouse -> New World Albany -> New World Browns Bay -> Pak 'n Save Wairau Road -> Warehouse,14.0,21359.0,5.933055555555556,True,1500.0,4200.0
141,Saturday,10,Warehouse -> Four Square Lancaster -> Pak 'n Save Wairau Road -> New World Albany -> New World Browns Bay -> Warehouse,16.0,24518.879999999997,6.8107999999999995,True,1810.0,5600.0
142,Saturday,11,Warehouse -> Four Square Torbay -> New World Browns Bay -> New World Albany -> Pak 'n Save Wairau Road -> Warehouse,16.0,24210.79,6.725219444444445,True,1810.0,5600.0
143,Saturday,12,Warehouse -> Four Square Torbay -> New World Browns Bay -> New World Albany -> Warehouse,10.0,17506.55,4.862930555555556,True,1190.0,4200.0
144,Saturday,13,Warehouse -> New World Albany -> New World Hobsonville -> Warehouse,8.0,14299.82,3.972172222222222,False,873.88,2800.0
145,Saturday,14,Warehouse -> New World Albany -> Pak 'n Save Albany -> New World Hobsonville -> Warehouse,16.0,23018.4,6.394,True,1810.0,5600.0
146,Saturday,15,Warehouse -> Pak 'n Save Lincoln Road -> New World Albany -> New World Hobsonville -> Warehouse,16.0,23327.1,6.479749999999999,True,1810.0,5600.0
147,Saturday,16,Warehouse -> Pak 'n Save Westgate -> New World Albany -> New World Hobsonville -> Warehouse,15.0,22150.760000000002,6.152988888888889,True,1810.0,5600.0
148,Saturday,17,Warehouse -> Four Square Fair Price Henderson -> New World Albany -> New World Hobsonville -> Warehouse,10.0,17258.34,4.793983333333333,True,1190.0,4200.0
149,Saturday,18,Warehouse -> Four Square Glen Eden -> Four Square Fair Price Henderson -> New World Albany -> New World Hobsonville -> Warehouse,12.0,20146.8,5.596333333333333,True,1500.0,4200.0
150,Saturday,19,Warehouse -> Four Square Fair Price Henderson -> New World Albany -> New World Hobsonville -> Four Square Hobsonville -> Warehouse,12.0,19500.6,5.416833333333333,True,1500.0,4200.0
151,Saturday,20,Warehouse -> New World Albany -> New World Hobsonville -> Four Square Hobsonville -> Warehouse,10.0,16542.08,4.595022222222223,True,1190.0,4200.0
152,Saturday,21,Warehouse -> New World Long Bay -> New World Albany -> Warehouse,9.0,16259.04,4.5164,True,1190.0,4200.0
153,Saturday,22,Warehouse -> New World Long Bay -> New World Albany -> New World Milford -> Warehouse,14.0,22082.67,6.134074999999999,True,1810.0,5600.0
154,Saturday,23,Warehouse -> New World Long Bay -> Four Square Torbay -> New World Albany -> New World Milford -> Warehouse,16.0,24502.03,6.806119444444444,True,1810.0,5600.0
155,Saturday,24,Warehouse -> New World Long Bay -> New World Albany -> Pak 'n Save Wairau Road -> Warehouse,15.0,22963.28,6.378688888888888,True,1810.0,5600.0
156,Saturday,25,Warehouse -> New World Long Bay -> Four Square Torbay -> New World Albany -> Warehouse,11.0,18678.4,5.188444444444444,True,1500.0,4200.0
157,Saturday,26,Warehouse -> New World Albany -> New World Milford -> Warehouse,9.0,15500.0,4.305555555555555,True,1190.0,4200.0
158,Saturday,27,Warehouse -> New World Albany -> Pak 'n Save Wairau Road -> New World Milford -> Warehouse,15.0,22208.21,6.168947222222222,True,1810.0,5600.0
159,Saturday,28,Warehouse -> Four Square Lancaster -> New World Albany -> New World Milford -> Warehouse,11.0,18721.28,5.200355555555555,True,1500.0,4200.0
160,Saturday,29,Warehouse -> Four Square Torbay -> New World Albany -> New World Milford -> Warehouse,11.0,18937.190000000002,5.260330555555556,True,1500.0,4200.0
161,Saturday,30,Warehouse -> New World Albany -> Pak 'n Save Albany -> Warehouse,12.0,18394.95,5.109708333333334,True,1500.0,4200.0
162,Saturday,31,Warehouse -> New World Albany -> Pak 'n Save Albany -> Four Square Hobsonville -> Warehouse,14.0,20882.18,5.800605555555555,True,1500.0,4200.0
163,Saturday,32,Warehouse -> Four Square Lancaster -> New World Albany -> Pak 'n Save Albany -> Warehouse,14.0,21616.23,6.004508333333333,True,1810.0,5600.0
164,Saturday,33,Warehouse -> Four Square Torbay -> New World Albany -> Pak 'n Save Albany -> Warehouse,14.0,21832.14,6.0644833333333334,True,1810.0,5600.0
165,Saturday,34,Warehouse -> New World Albany -> Pak 'n Save Wairau Road -> Warehouse,10.0,16380.61,4.550169444444444,True,1190.0,4200.0
166,Saturday,35,Warehouse -> Four Square Lancaster -> Pak 'n Save Wairau Road -> New World Albany -> Warehouse,12.0,19540.5,5.4279166666666665,True,1500.0,4200.0
