Bootstrap,Weekday_Cost,Saturday_Cost,Weekly_Cost,Total_Route_Demand,Weekday_Owned,Weekday_Leased,Saturday_Owned,Saturday_Leased,Weekday_Skipped,Saturday_Skipped
1,49646.939999999995,23691.399999999998,271926.1,663.0,36,0,25,0,11,0
2,50047.359999999986,23104.160000000003,273340.95999999996,666.0,35,0,25,0,11,0
3,49975.34999999999,23563.06,273439.80999999994,672.0,37,0,25,0,11,0
4,49456.92999999999,22988.15,270272.8,658.0,36,0,23,0,11,0
5,49726.74999999999,23753.03,272386.77999999997,665.0,37,0,25,0,11,0
6,48551.70999999999,23384.34,266142.88999999996,659.0,37,0,26,0,11,0
7,48912.969999999994,23609.589999999997,268174.43999999994,655.0,36,0,25,0,11,0
8,50741.17,23911.870000000003,277617.72,667.0,35,0,25,0,11,0
9,48199.92,23358.69,264358.29,655.0,34,0,23,0,11,0
10,50945.329999999994,23852.22,278578.87,683.0,35,0,25,0,11,0
11,50331.36999999999,22789.760000000002,274446.6099999999,669.0,37,0,23,0,11,0
12,50647.06999999999,23465.120000000003,276700.47,668.0,38,0,25,0,11,0
13,50233.33999999999,23284.32,274451.01999999996,664.0,36,0,24,0,11,0
14,49767.509999999995,23211.59,272049.14,667.0,35,0,25,0,11,0
15,50406.97,22996.230000000003,275031.08,662.0,35,0,24,0,11,0
16,50240.6,23010.180000000004,274213.18,660.0,34,0,24,0,11,0
17,50684.92999999999,22755.909999999996,276180.55999999994,662.0,34,0,24,0,11,0
18,50122.70999999999,22716.51,273330.05999999994,659.0,38,0,25,0,11,0
19,50062.95999999999,23058.25,273373.04999999993,662.0,35,0,26,0,11,0
20,50398.969999999994,23198.269999999997,275193.12,665.0,34,0,23,0,11,0
21,50184.829999999994,23684.839999999997,274608.99,667.0,36,0,24,0,11,0
22,50368.94999999999,23323.260000000006,275168.00999999995,669.0,35,0,25,0,11,0
23,49373.78,23528.660000000003,270397.56,666.0,35,0,24,0,11,0
24,50163.67999999999,23561.79,274380.18999999994,675.0,35,0,26,0,11,0
25,51175.31999999999,22765.860000000004,278642.45999999996,656.0,36,0,24,0,11,0
26,50126.95,22990.559999999998,273625.31,665.0,37,0,24,0,11,0
27,49620.24999999999,23815.690000000006,271916.94,672.0,38,0,26,0,11,0
28,49779.88999999999,23029.72,271929.1699999999,668.0,36,0,25,0,11,0
29,50409.689999999995,23471.100000000002,275519.55,661.0,34,0,24,0,11,0
30,50239.73999999999,23807.379999999997,275006.07999999996,668.0,36,0,25,0,11,0
31,49882.28999999999,23906.26,273317.70999999996,676.0,36,0,25,0,11,0
32,49367.06999999999,23870.88000000001,270706.23,667.0,36,0,25,0,11,0
33,49797.63999999999,22760.33,271748.52999999997,652.0,36,0,23,0,11,0
34,50382.259999999995,23338.149999999998,275249.45,670.0,36,0,24,0,11,0
35,50586.80999999999,22892.66,275826.70999999996,655.0,36,0,25,0,11,0
36,49885.81999999999,22766.339999999997,272195.43999999994,659.0,35,0,22,0,11,0
37,49684.70999999999,23512.760000000002,271936.30999999994,662.0,35,0,26,0,11,0
38,49215.34,23197.019999999997,269273.72,665.0,37,0,23,0,11,0
39,48823.799999999996,23831.56,267950.56,661.0,34,0,26,0,11,0
40,50330.759999999995,23219.41,274873.20999999996,669.0,34,0,24,0,11,0
41,50479.74,22199.219999999998,274597.92,651.0,34,0,23,0,11,0
42,50489.66999999999,23426.899999999998,275875.24999999994,669.0,38,0,25,0,11,0
43,50222.28,22662.83,273774.23,654.0,35,0,25,0,11,0
44,49936.34999999999,22790.490000000005,272472.23999999993,651.0,35,0,26,0,11,0
45,50143.74999999999,23682.210000000006,274400.95999999996,672.0,37,0,26,0,11,0
46,50400.729999999996,22890.16,274893.80999999994,662.0,34,0,25,0,11,0
47,50581.92,23030.540000000008,275940.14,669.0,34,0,23,0,11,0
48,49935.33,22875.190000000006,272551.84,665.0,35,0,24,0,11,0
49,50353.149999999994,23187.85,274953.6,661.0,34,0,24,0,11,0
50,51250.12,22529.78,278780.38,660.0,35,0,25,0,11,0
51,50763.7,22894.440000000002,276712.94,664.0,34,0,24,0,11,0
52,50815.34999999999,23603.35,277680.0999999999,680.0,35,0,25,0,11,0
53,50206.81,23269.690000000006,274303.74,657.0,37,0,25,0,11,0
54,48476.17999999999,23325.24,265706.13999999996,655.0,35,0,24,0,11,0
55,50177.719999999994,22894.200000000008,273782.8,671.0,36,0,25,0,11,0
56,48104.17,23322.86,263843.70999999996,654.0,35,0,23,0,11,0
57,49885.94999999999,24018.46,273448.20999999996,670.0,36,0,27,0,11,0
58,50010.75,22982.67,273036.42,654.0,34,0,23,0,11,0
59,50513.46,23958.16,276525.45999999996,674.0,33,0,25,0,11,0
60,49491.12999999999,22372.109999999997,269827.75999999995,655.0,36,0,23,0,11,0
61,50405.049999999996,23233.0,275258.25,663.0,37,0,25,0,11,0
62,51241.49,23815.04,280022.49,677.0,34,0,25,0,11,0
63,49515.35,22906.67,270483.42,666.0,36,0,22,0,11,0
64,50382.89,23248.34,275162.79000000004,661.0,34,0,23,0,11,0
65,50117.59,23647.28,274235.23,669.0,35,0,25,0,11,0
66,50743.729999999996,23412.94,277131.58999999997,673.0,36,0,24,0,11,0
67,48441.799999999996,22985.04,265194.04,653.0,35,0,23,0,11,0
68,50016.7,23345.76,273429.26,669.0,38,0,23,0,11,0
69,50184.299999999996,22719.16,273640.66,661.0,37,0,24,0,11,0
70,51000.04,23631.7,278631.9,674.0,35,0,24,0,11,0
71,51005.03999999999,23329.059999999998,278354.25999999995,667.0,36,0,25,0,11,0
72,49617.93,22451.58,270541.23,663.0,36,0,24,0,11,0
73,49996.38999999999,22273.06,272255.00999999995,662.0,38,0,23,0,11,0
74,50217.52999999999,23441.710000000003,274529.36,663.0,36,0,24,0,11,0
75,49459.299999999996,23634.77,270931.26999999996,663.0,36,0,25,0,11,0
76,49762.40999999999,23262.16,272074.2099999999,668.0,35,0,25,0,11,0
77,49970.18999999999,23207.160000000003,273058.11,665.0,35,0,25,0,11,0
78,49974.10999999999,23367.780000000002,273238.32999999996,664.0,36,0,25,0,11,0
79,50211.869999999995,23835.31,274894.66,669.0,36,0,25,0,11,0
80,50093.85999999999,23141.39,273610.68999999994,669.0,37,0,25,0,11,0
81,49959.01,23458.789999999997,273253.84,671.0,36,0,26,0,11,0
82,50356.34,23397.390000000003,275179.08999999997,666.0,34,0,25,0,11,0
